date,home,away,home_goals,away_goals,neutral,tournament,home_elo,away_elo
2010-02-24,United States,El Salvador,2,1,False,Friendly,1482.4350396398456,1500.0
2010-02-24,North Korea,Myanmar,5,0,True,AFC Challenge Cup,1519.330982945137,1518.9353298534675
2010-02-24,Mexico,Bolivia,5,0,True,Friendly,1500.0,1500.0
2010-02-25,Kuwait,Bahrain,4,1,True,Friendly,1498.1096265552892,1498.6361204965713
2010-02-25,Turkmenistan,North Korea,1,1,True,AFC Challenge Cup,1538.139696439636,1549.2968195257472
2010-02-25,Jordan,Azerbaijan,0,2,False,Friendly,1502.5649603601544,1500.0
2010-02-27,Malaysia,Yemen,1,0,False,Friendly,1487.5649603601544,1508.8056607683632
2010-02-27,Tajikistan,Myanmar,1,0,True,AFC Challenge Cup,1524.1474492793318,1488.9694932728573
2010-03-02,Guadeloupe,Saint Kitts and Nevis,2,1,False,Friendly,1500.0,1500.0
2010-03-02,Republic of Ireland,Brazil,0,2,True,Friendly,1500.0,1500.0
2010-03-03,Turkey,Honduras,2,0,False,Friendly,1500.0,1517.5649603601544
2010-03-03,North Macedonia,Montenegro,2,1,False,Friendly,1500.0,1500.0
2010-03-03,Malta,Finland,1,2,False,Friendly,1500.0,1484.3528000084657
2010-03-03,Mexico,New Zealand,2,0,True,Friendly,1520.0,1500.0
2010-03-03,Mozambique,Botswana,0,1,False,Friendly,1429.0882336643588,1500.0
2010-03-03,Netherlands,United States,2,1,False,Friendly,1500.0,1491.219698365245
2010-03-03,Nigeria,DR Congo,5,2,False,Friendly,1522.9345364551468,1500.0
2010-03-03,Oman,Kuwait,0,0,False,AFC Asian Cup qualification,1505.3688261730504,1515.636145534069
2010-03-03,Poland,Bulgaria,2,0,False,Friendly,1551.4324241767595,1500.0
2010-03-03,Portugal,China,2,0,False,Friendly,1500.0,1561.6540234984473
2010-03-03,Romania,Israel,0,2,False,Friendly,1500.0,1500.0
2010-03-03,Slovenia,Qatar,4,1,False,Friendly,1500.0,1498.2900264265638
2010-03-03,Slovakia,Norway,0,1,False,Friendly,1500.0,1500.0
2010-03-03,Luxembourg,Azerbaijan,1,2,False,Friendly,1500.0,1517.6723231189228
2010-03-03,South Africa,Namibia,1,1,False,Friendly,1513.480522436876,1500.0
2010-03-03,Switzerland,Uruguay,1,3,False,Friendly,1500.0,1500.0
2010-03-03,Syria,Lebanon,4,0,False,AFC Asian Cup qualification,1520.233652333109,1497.4350396398456
2010-03-03,Uzbekistan,United Arab Emirates,0,1,False,AFC Asian Cup qualification,1500.0,1512.4350396398456
2010-03-03,Venezuela,Panama,1,2,False,Friendly,1502.182612763089,1491.7099735734362
2010-03-03,Wales,Sweden,0,1,False,Friendly,1500.0,1514.2039644141703
2010-03-03,Zimbabwe,Malawi,2,1,False,Friendly,1465.269477563124,1473.9775747586593
2010-03-03,Scotland,Czech Republic,1,0,False,Friendly,1500.0,1500.0
2010-03-03,Libya,Mali,2,1,False,Friendly,1491.7099735734362,1506.6344288149262
2010-03-03,Tanzania,Uganda,2,3,False,Friendly,1488.2900264265638,1500.0
2010-03-03,Jordan,Singapore,2,1,False,AFC Asian Cup qualification,1484.8926372412316,1438.2797893821619
2010-03-03,Albania,Northern Ireland,1,0,False,Friendly,1500.0,1500.0
2010-03-03,Algeria,Serbia,0,3,False,Friendly,1469.181635203152,1500.0
2010-03-03,Angola,Latvia,1,1,False,Friendly,1494.0250333742424,1490.0186278916124
2010-03-03,Armenia,Belarus,1,3,True,Friendly,1500.0,1500.0
2010-03-03,Australia,Indonesia,1,0,False,AFC Asian Cup qualification,1502.5649603601544,1482.4350396398456
2010-03-03,Kazakhstan,Moldova,0,1,True,Friendly,1500.0,1500.0
2010-03-03,Austria,Denmark,2,1,False,Friendly,1500.0,1500.0
2010-03-03,Belgium,Croatia,0,1,False,Friendly,1500.0,1500.0
2010-03-03,Cyprus,Iceland,0,0,False,Friendly,1500.0,1500.0
2010-03-03,El Salvador,Guatemala,1,2,True,Friendly,1491.2153412746006,1500.0
2010-03-03,Bosnia and Herzegovina,Ghana,2,1,False,Friendly,1500.0,1524.550045935767
2010-03-03,France,Spain,0,2,False,Friendly,1500.0,1500.0
2010-03-03,Japan,Bahrain,2,0,False,AFC Asian Cup qualification,1502.143046503953,1481.1096015177914
2010-03-03,Ivory Coast,South Korea,0,2,True,Friendly,1529.130723543584,1537.5868944629735
2010-03-03,England,Egypt,3,1,False,Friendly,1500.0,1653.5946095783202
2010-03-03,Iran,Thailand,1,0,False,AFC Asian Cup qualification,1535.7158402833772,1482.006985797547
2010-03-03,Hungary,Russia,1,1,False,Friendly,1500.0,1500.0
2010-03-03,Italy,Cameroon,0,0,True,Friendly,1500.0,1492.9004995808239
2010-03-03,Greece,Senegal,0,2,False,Friendly,1500.0,1500.0
