date,match_num,home,away,market,selection,line,odds,edge,source,close_odds,result,pl
2026-06-22,41,Argentina,Austria,BTTS,否,,,,,,pending,
2026-06-22,41,Argentina,Austria,AH,客,-1.0,,,,,pending,
2026-06-22,43,Jordan,Algeria,1X2,away,,,,,,pending,
2026-06-22,43,Jordan,Algeria,OU,大,2.5,,,,,pending,
2026-06-22,43,Jordan,Algeria,BTTS,是,,,,,,pending,
2026-06-22,43,Jordan,Algeria,AH,主,1.25,,,,,pending,
2026-06-27,67,Algeria,Austria,1X2,home,,,,,,pending,
2026-06-27,67,Algeria,Austria,OU,小,2.5,,,,,pending,
2026-06-27,67,Algeria,Austria,AH,客,-0.25,,,,,pending,
2026-06-27,71,Jordan,Argentina,1X2,away,,,,,,pending,
2026-06-27,71,Jordan,Argentina,OU,大,2.5,,,,,pending,
2026-06-27,71,Jordan,Argentina,BTTS,否,,,,,,pending,
2026-06-27,71,Jordan,Argentina,AH,主,2.25,,,,,pending,
2026-06-17,23,Portugal,DR Congo,1X2,home,,,,,,loss,
2026-06-17,23,Portugal,DR Congo,OU,小,2.5,,,,,win,
2026-06-17,23,Portugal,DR Congo,BTTS,否,,,,,,loss,
2026-06-17,23,Portugal,DR Congo,AH,客,-0.5,,,,,win,
2026-06-17,24,Uzbekistan,Colombia,1X2,away,,,,,,win,
2026-06-17,24,Uzbekistan,Colombia,OU,小,2.5,,,,,loss,
2026-06-17,24,Uzbekistan,Colombia,BTTS,否,,,,,,loss,
2026-06-17,24,Uzbekistan,Colombia,AH,主,1.0,,,,,loss,
2026-06-23,48,Portugal,Uzbekistan,1X2,home,,,,,,pending,
2026-06-23,48,Portugal,Uzbekistan,OU,小,2.5,,,,,pending,
2026-06-23,48,Portugal,Uzbekistan,BTTS,否,,,,,,pending,
2026-06-23,48,Portugal,Uzbekistan,AH,主,-0.75,,,,,pending,
2026-06-23,45,Colombia,DR Congo,1X2,home,,,,,,pending,
2026-06-23,45,Colombia,DR Congo,OU,小,2.5,,,,,pending,
